Reads	Bases	FileName	Process
1046199	157976049	ASM_50_R2.fastq	demux
1346143	203267593	ASM_51_R1.fastq	demux
1346143	203267593	ASM_51_R2.fastq	demux
1359343	205260793	ASM_52_R1.fastq	demux
1359343	205260793	ASM_52_R2.fastq	demux
1139753	172102703	ASM_53_R1.fastq	demux
1139753	172102703	ASM_53_R2.fastq	demux
1043034	157498134	ASM_54_R1.fastq	demux
1043034	157498134	ASM_54_R2.fastq	demux
139683	21092133	ASM_55_R1.fastq	demux
139683	21092133	ASM_55_R2.fastq	demux
1173923	177262373	ASM_56_R1.fastq	demux
1173923	177262373	ASM_56_R2.fastq	demux
1268858	191597558	ASM_57_R1.fastq	demux
1268858	191597558	ASM_57_R2.fastq	demux
249615	37691865	ASM_5_R1.fastq	demux
249615	37691865	ASM_5_R2.fastq	demux
1472536	222352936	ASM_6_R1.fastq	demux
1472536	222352936	ASM_6_R2.fastq	demux
4871	735521	ASM_7_R1.fastq	demux
4871	735521	ASM_7_R2.fastq	demux
61426	9275326	ASM_8_R1.fastq	demux
61426	9275326	ASM_8_R2.fastq	demux
5683	858133	ASM_9_R1.fastq	demux
5683	858133	ASM_9_R2.fastq	demux
33469	5053819	BHI_blank_R1.fastq	demux
33469	5053819	BHI_blank_R2.fastq	demux
1955589	295293939	HM611_R1.fastq	demux
1955589	295293939	HM611_R2.fastq	demux
2721435	410936685	HM681_R1.fastq	demux
2721435	410936685	HM681_R2.fastq	demux
1310381	197867531	JKid_R1.fastq	demux
1310381	197867531	JKid_R2.fastq	demux
1461074	220622174	JMother_R1.fastq	demux
1461074	220622174	JMother_R2.fastq	demux
2832	427632	Library_reagents_1_R1.fastq	demux
2832	427632	Library_reagents_1_R2.fastq	demux
3975	600225	Library_reagents_2_R1.fastq	demux
3975	600225	Library_reagents_2_R2.fastq	demux
2324440	350990440	Mock_1_R1.fastq	demux
2324440	350990440	Mock_1_R2.fastq	demux
2854832	431079632	Mock_2_R1.fastq	demux
2854832	431079632	Mock_2_R2.fastq	demux
2451569	370186919	Mock_3_R1.fastq	demux
2451569	370186919	Mock_3_R2.fastq	demux
9642	1455942	Mock_4_R1.fastq	demux
9642	1455942	Mock_4_R2.fastq	demux
3240714	489347814	Mock_5_R1.fastq	demux
3240714	489347814	Mock_5_R2.fastq	demux
2628345	396880095	Mock_6_R1.fastq	demux
2628345	396880095	Mock_6_R2.fastq	demux
7189	1085539	SP7524_full_R1.fastq	demux
7189	1085539	SP7524_full_R2.fastq	demux
1343185	202820935	SP7524_noHL_R1.fastq	demux
1343185	202820935	SP7524_noHL_R2.fastq	demux
361736	54622136	SP7524_virome_R1.fastq	demux
361736	54622136	SP7524_virome_R2.fastq	demux
1230202	185760502	SP8704_full_R1.fastq	demux
1230202	185760502	SP8704_full_R2.fastq	demux
559530	84489030	SP8704_noHL_R1.fastq	demux
559530	84489030	SP8704_noHL_R2.fastq	demux
8278	1249978	SP8704_virome_R1.fastq	demux
8278	1249978	SP8704_virome_R2.fastq	demux
1131222	170814522	SP8734_full_R1.fastq	demux
1131222	170814522	SP8734_full_R2.fastq	demux
5429	819779	SP8734_noHL_R1.fastq	demux
5429	819779	SP8734_noHL_R2.fastq	demux
8005	1208755	SP8734_virome_R1.fastq	demux
8005	1208755	SP8734_virome_R2.fastq	demux
1405356	212208756	SP8892_full_R1.fastq	demux
1405356	212208756	SP8892_full_R2.fastq	demux
1499801	226469951	SP8892_noHL_R1.fastq	demux
1499801	226469951	SP8892_noHL_R2.fastq	demux
714810	107936310	SP9829_noHL_R1.fastq	demux
714810	107936310	SP9829_noHL_R2.fastq	demux
16419	2479269	SP9829_virome_R1.fastq	demux
16419	2479269	SP9829_virome_R2.fastq	demux
2066849	312094199	SPIT_JP_1_R1.fastq	demux
2066849	312094199	SPIT_JP_1_R2.fastq	demux
2255814	340627914	SPIT_JP_2_R1.fastq	demux
2255814	340627914	SPIT_JP_2_R2.fastq	demux
693381	104700531	SPIT_JP_3_R1.fastq	demux
693381	104700531	SPIT_JP_3_R2.fastq	demux
1929393	291338343	SPIT_JP_4_R1.fastq	demux
1929393	291338343	SPIT_JP_4_R2.fastq	demux
1469205	221849955	SPIT_JP_5_R1.fastq	demux
1469205	221849955	SPIT_JP_5_R2.fastq	demux
6312	953112	SPIT_JP_6_R1.fastq	demux
6312	953112	SPIT_JP_6_R2.fastq	demux
1967260	297056260	SPIT_JP_7_R1.fastq	demux
1967260	297056260	SPIT_JP_7_R2.fastq	demux
1180056	178188456	SPIT_JP_8_R1.fastq	demux
1180056	178188456	SPIT_JP_8_R2.fastq	demux
976549	147458899	SPIT_JP_9_R1.fastq	demux
976549	147458899	SPIT_JP_9_R2.fastq	demux
28621	4321771	SPIT_JP_VIROME_1_R1.fastq	demux
28621	4321771	SPIT_JP_VIROME_1_R2.fastq	demux
383103	57848553	SPIT_JP_VIROME_2_R1.fastq	demux
383103	57848553	SPIT_JP_VIROME_2_R2.fastq	demux
1785142	269556442	SPIT_JP_VIROME_3_R1.fastq	demux
1785142	269556442	SPIT_JP_VIROME_3_R2.fastq	demux
1571147	237243197	SPIT_TG_1_R1.fastq	demux
1571147	237243197	SPIT_TG_1_R2.fastq	demux
1382497	208757047	SPIT_TG_2_R1.fastq	demux
1382497	208757047	SPIT_TG_2_R2.fastq	demux
1377008	207928208	SPIT_TG_3_R1.fastq	demux
1377008	207928208	SPIT_TG_3_R2.fastq	demux
10150	1532650	SPIT_TG_4_R1.fastq	demux
10150	1532650	SPIT_TG_4_R2.fastq	demux
1583233	239068183	SPIT_TG_5_R1.fastq	demux
1583233	239068183	SPIT_TG_5_R2.fastq	demux
1833962	276928262	SPIT_TG_6_R1.fastq	demux
1833962	276928262	SPIT_TG_6_R2.fastq	demux
1507517	227635067	SPIT_TG_7_R1.fastq	demux
1507517	227635067	SPIT_TG_7_R2.fastq	demux
589681	89041831	SPIT_TG_8_R1.fastq	demux
589681	89041831	SPIT_TG_8_R2.fastq	demux
1351447	204068497	SPIT_TGnew_Virome_1_R1.fastq	demux
1351447	204068497	SPIT_TGnew_Virome_1_R2.fastq	demux
4740	715740	SPIT_TGnew_Virome_2_R1.fastq	demux
4740	715740	SPIT_TGnew_Virome_2_R2.fastq	demux
8346	1260246	SPIT_TGnew_Virome_3_R1.fastq	demux
8346	1260246	SPIT_TGnew_Virome_3_R2.fastq	demux
109257	16497807	SPIT_TG_Virome_1_R1.fastq	demux
109257	16497807	SPIT_TG_Virome_1_R2.fastq	demux
267549	40399899	SPIT_TG_Virome_2_R1.fastq	demux
267549	40399899	SPIT_TG_Virome_2_R2.fastq	demux
621843	93898293	SPIT_TG_Virome_3_R1.fastq	demux
621843	93898293	SPIT_TG_Virome_3_R2.fastq	demux
5857	884407	W100_D1_R1.fastq	demux
5857	884407	W100_D1_R2.fastq	demux
1784463	269453913	W100_D5_R1.fastq	demux
1784463	269453913	W100_D5_R2.fastq	demux
1746589	263734939	W101_D1_R1.fastq	demux
1746589	263734939	W101_D1_R2.fastq	demux
1004464	151674064	W101_D5_R1.fastq	demux
1004464	151674064	W101_D5_R2.fastq	demux
2331274	352022374	W102_D1_R1.fastq	demux
2331274	352022374	W102_D1_R2.fastq	demux
977972	147673772	W102_D5_R1.fastq	demux
977972	147673772	W102_D5_R2.fastq	demux
2419151	365291801	W103_D1_R1.fastq	demux
2419151	365291801	W103_D1_R2.fastq	demux
834225	125967975	W103_D5_R1.fastq	demux
834225	125967975	W103_D5_R2.fastq	demux
1224943	184966393	W104_D1_R1.fastq	demux
1224943	184966393	W104_D1_R2.fastq	demux
857238	129442938	W104_D5_R1.fastq	demux
857238	129442938	W104_D5_R2.fastq	demux
2704893	408438843	W105_D1_R1.fastq	demux
2704893	408438843	W105_D1_R2.fastq	demux
439773	66405723	W105_D5_R1.fastq	demux
439773	66405723	W105_D5_R2.fastq	demux
1495990	225894490	W106_D1_R1.fastq	demux
1495990	225894490	W106_D1_R2.fastq	demux
355533	53685483	W106_D5_R1.fastq	demux
355533	53685483	W106_D5_R2.fastq	demux
9077	1370627	W107_D1_R1.fastq	demux
9077	1370627	W107_D1_R2.fastq	demux
1377959	208071809	W107_D5_R1.fastq	demux
1377959	208071809	W107_D5_R2.fastq	demux
2268886	342601786	W108_D1_R1.fastq	demux
2268886	342601786	W108_D1_R2.fastq	demux
89012	13440812	W108_D5_R1.fastq	demux
89012	13440812	W108_D5_R2.fastq	demux
365806	55236706	W10_D1_R1.fastq	demux
365806	55236706	W10_D1_R2.fastq	demux
1718735	259528985	W10_D5_R1.fastq	demux
1718735	259528985	W10_D5_R2.fastq	demux
1743438	263259138	W110_D5_R1.fastq	demux
1743438	263259138	W110_D5_R2.fastq	demux
1192106	180008006	W114_D5_R1.fastq	demux
1192106	180008006	W114_D5_R2.fastq	demux
2855434	431170534	W115_D1_R1.fastq	demux
2855434	431170534	W115_D1_R2.fastq	demux
2033375	307039625	W115_D5_R1.fastq	demux
2033375	307039625	W115_D5_R2.fastq	demux
1618714	244425814	W116_D1_R1.fastq	demux
1618714	244425814	W116_D1_R2.fastq	demux
1809128	273178328	W116_D5_R1.fastq	demux
1809128	273178328	W116_D5_R2.fastq	demux
2594250	391731750	W117_D1_R1.fastq	demux
2594250	391731750	W117_D1_R2.fastq	demux
1424991	215173641	W117_D5_R1.fastq	demux
1424991	215173641	W117_D5_R2.fastq	demux
1003759	151567609	W118_D1_R1.fastq	demux
1003759	151567609	W118_D1_R2.fastq	demux
21557	3255107	W118_D1_Virome_R1.fastq	demux
21557	3255107	W118_D1_Virome_R2.fastq	demux
2619717	395577267	W119_D1_R1.fastq	demux
2619717	395577267	W119_D1_R2.fastq	demux
528617	79821167	W119_D1_Virome_R1.fastq	demux
528617	79821167	W119_D1_Virome_R2.fastq	demux
993736	150054136	W11_D1_R1.fastq	demux
993736	150054136	W11_D1_R2.fastq	demux
1092145	164913895	W11_D5_R1.fastq	demux
1092145	164913895	W11_D5_R2.fastq	demux
1430240	215966240	W127_D5_R1.fastq	demux
1430240	215966240	W127_D5_R2.fastq	demux
1682856	254111256	W128_D5_R1.fastq	demux
1682856	254111256	W128_D5_R2.fastq	demux
1720922	259859222	W129_D5_R1.fastq	demux
1720922	259859222	W129_D5_R2.fastq	demux
1355689	204709039	W12_D1_R1.fastq	demux
1355689	204709039	W12_D1_R2.fastq	demux
1254395	189413645	W12_D5_R1.fastq	demux
1254395	189413645	W12_D5_R2.fastq	demux
1427097	215491647	W133_D5_R1.fastq	demux
1427097	215491647	W133_D5_R2.fastq	demux
1693073	255654023	W135_D5_R1.fastq	demux
1693073	255654023	W135_D5_R2.fastq	demux
1512981	228460131	W137_D5_R1.fastq	demux
1512981	228460131	W137_D5_R2.fastq	demux
814727	123023777	W138_D5_R1.fastq	demux
814727	123023777	W138_D5_R2.fastq	demux
1833278	276824978	W139_D1_R1.fastq	demux
1833278	276824978	W139_D1_R2.fastq	demux
897787	135565837	W139_D1_Virome_R1.fastq	demux
897787	135565837	W139_D1_Virome_R2.fastq	demux
1123144	169594744	W139_D5_Hoffman_R1.fastq	demux
1123144	169594744	W139_D5_Hoffman_R2.fastq	demux
1188393	179447343	W139_D5_R1.fastq	demux
1188393	179447343	W139_D5_R2.fastq	demux
115516	17442916	W139_D5_Virome_R1.fastq	demux
115516	17442916	W139_D5_Virome_R2.fastq	demux
1880491	283954141	W13_D1_R1.fastq	demux
1880491	283954141	W13_D1_R2.fastq	demux
2048252	309286052	W13_D5_R1.fastq	demux
2048252	309286052	W13_D5_R2.fastq	demux
2213896	334298296	W140_D1_R1.fastq	demux
2213896	334298296	W140_D1_R2.fastq	demux
906859	136935709	W140_D1_Virome_R1.fastq	demux
906859	136935709	W140_D1_Virome_R2.fastq	demux
1725224	260508824	W140_D5_Hoffman_R1.fastq	demux
1725224	260508824	W140_D5_Hoffman_R2.fastq	demux
1206223	182139673	W140_D5_R1.fastq	demux
1206223	182139673	W140_D5_R2.fastq	demux
73249	11060599	W140_D5_Virome_R1.fastq	demux
73249	11060599	W140_D5_Virome_R2.fastq	demux
1348929	203688279	W141_D1_Hoffman_R1.fastq	demux
1348929	203688279	W141_D1_Hoffman_R2.fastq	demux
2866305	432812055	W141_D1_R1.fastq	demux
2866305	432812055	W141_D1_R2.fastq	demux
4440	670440	W141_D1_Virome_R1.fastq	demux
4440	670440	W141_D1_Virome_R2.fastq	demux
1936899	292471749	W141_D5_Hoffman_R1.fastq	demux
1936899	292471749	W141_D5_Hoffman_R2.fastq	demux
1348320	203596320	W141_D5_R1.fastq	demux
1348320	203596320	W141_D5_R2.fastq	demux
251593	37990543	W141_D5_Virome_R1.fastq	demux
251593	37990543	W141_D5_Virome_R2.fastq	demux
408075	61619325	W142_D1_Hoffman_R1.fastq	demux
408075	61619325	W142_D1_Hoffman_R2.fastq	demux
1421162	214595462	W142_D1_R1.fastq	demux
1421162	214595462	W142_D1_R2.fastq	demux
853560	128887560	W142_D1_Virome_R1.fastq	demux
853560	128887560	W142_D1_Virome_R2.fastq	demux
2408731	363718381	W142_D5_Hoffman_R1.fastq	demux
2408731	363718381	W142_D5_Hoffman_R2.fastq	demux
830079	125341929	W142_D5_R1.fastq	demux
830079	125341929	W142_D5_R2.fastq	demux
4850	732350	W142_D5_Virome_R1.fastq	demux
4850	732350	W142_D5_Virome_R2.fastq	demux
989224	149372824	W143_D1_Hoffman_R1.fastq	demux
989224	149372824	W143_D1_Hoffman_R2.fastq	demux
924194	139553294	W143_D1_R1.fastq	demux
924194	139553294	W143_D1_R2.fastq	demux
514003	77614453	W143_D1_Virome_R1.fastq	demux
514003	77614453	W143_D1_Virome_R2.fastq	demux
988433	149253383	W143_D5_Hoffman_R1.fastq	demux
988433	149253383	W143_D5_Hoffman_R2.fastq	demux
1569081	236931231	W143_D5_R1.fastq	demux
1569081	236931231	W143_D5_R2.fastq	demux
8494	1282594	W143_D5_Virome_R1.fastq	demux
8494	1282594	W143_D5_Virome_R2.fastq	demux
359358	54263058	W144_D1_Hoffman_R1.fastq	demux
359358	54263058	W144_D1_Hoffman_R2.fastq	demux
860604	129951204	W144_D1_R1.fastq	demux
860604	129951204	W144_D1_R2.fastq	demux
793364	119797964	W144_D1_Virome_R1.fastq	demux
793364	119797964	W144_D1_Virome_R2.fastq	demux
1908181	288135331	W144_D5_Hoffman_R1.fastq	demux
1908181	288135331	W144_D5_Hoffman_R2.fastq	demux
1737557	262371107	W144_D5_R1.fastq	demux
1737557	262371107	W144_D5_R2.fastq	demux
110420	16673420	W144_D5_Virome_R1.fastq	demux
110420	16673420	W144_D5_Virome_R2.fastq	demux
1061501	160286651	W145_D1_Hoffman_R1.fastq	demux
1061501	160286651	W145_D1_Hoffman_R2.fastq	demux
293918	44381618	W145_D1_R1.fastq	demux
293918	44381618	W145_D1_R2.fastq	demux
563843	85140293	W145_D1_Virome_R1.fastq	demux
563843	85140293	W145_D1_Virome_R2.fastq	demux
674614	101866714	W145_D5_Hoffman_R1.fastq	demux
674614	101866714	W145_D5_Hoffman_R2.fastq	demux
2722636	411118036	W145_D5_R1.fastq	demux
2722636	411118036	W145_D5_R2.fastq	demux
42016	6344416	W145_D5_Virome_R1.fastq	demux
42016	6344416	W145_D5_Virome_R2.fastq	demux
894071	135004721	W146_D1_Hoffman_R1.fastq	demux
894071	135004721	W146_D1_Hoffman_R2.fastq	demux
1532932	231472732	W146_D1_R1.fastq	demux
1532932	231472732	W146_D1_R2.fastq	demux
263114	39730214	W146_D1_Virome_R1.fastq	demux
263114	39730214	W146_D1_Virome_R2.fastq	demux
1053533	159083483	W146_D5_hoffman_R1.fastq	demux
1053533	159083483	W146_D5_hoffman_R2.fastq	demux
2103047	317560097	W146_D5_R1.fastq	demux
2103047	317560097	W146_D5_R2.fastq	demux
184478	27856178	W146_D5_Virome_R1.fastq	demux
184478	27856178	W146_D5_Virome_R2.fastq	demux
745316	112542716	W147_D1_Hoffman_R1.fastq	demux
745316	112542716	W147_D1_Hoffman_R2.fastq	demux
2268149	342490499	W147_D1_R1.fastq	demux
2268149	342490499	W147_D1_R2.fastq	demux
1901	287051	W147_D1_Virome_R1.fastq	demux
1901	287051	W147_D1_Virome_R2.fastq	demux
2170216	327702616	W147_D5_Hoffman_R1.fastq	demux
2170216	327702616	W147_D5_Hoffman_R2.fastq	demux
446859	67475709	W147_D5_R1.fastq	demux
446859	67475709	W147_D5_R2.fastq	demux
618825	93442575	W147_D5_Virome_R1.fastq	demux
618825	93442575	W147_D5_Virome_R2.fastq	demux
701197	105880747	W148_D1_Hoffman_R1.fastq	demux
701197	105880747	W148_D1_Hoffman_R2.fastq	demux
1741467	262961517	W148_D1_R1.fastq	demux
1741467	262961517	W148_D1_R2.fastq	demux
503037	75958587	W148_D1_Virome_R1.fastq	demux
503037	75958587	W148_D1_Virome_R2.fastq	demux
1125342	169926642	W148_D5_Hoffman_R1.fastq	demux
1125342	169926642	W148_D5_Hoffman_R2.fastq	demux
1386934	209427034	W148_D5_R1.fastq	demux
1386934	209427034	W148_D5_R2.fastq	demux
43289	6536639	W148_D5_Virome_R1.fastq	demux
43289	6536639	W148_D5_Virome_R2.fastq	demux
977496	147601896	W149_D1_Hoffman_R1.fastq	demux
977496	147601896	W149_D1_Hoffman_R2.fastq	demux
3062676	462464076	W149_D1_R1.fastq	demux
3062676	462464076	W149_D1_R2.fastq	demux
1814	273914	W149_D1_Virome_R1.fastq	demux
1814	273914	W149_D1_Virome_R2.fastq	demux
2657497	401282047	W149_D5_Hoffman_R1.fastq	demux
2657497	401282047	W149_D5_Hoffman_R2.fastq	demux
1435988	216834188	W149_D5_R1.fastq	demux
1435988	216834188	W149_D5_R2.fastq	demux
308814	46630914	W149_D5_Virome_R1.fastq	demux
308814	46630914	W149_D5_Virome_R2.fastq	demux
1388616	209681016	W14_D1_R1.fastq	demux
1388616	209681016	W14_D1_R2.fastq	demux
2531112	382197912	W14_D5_R1.fastq	demux
2531112	382197912	W14_D5_R2.fastq	demux
1001374	151207474	W150_D1_Hoffman_R1.fastq	demux
1001374	151207474	W150_D1_Hoffman_R2.fastq	demux
2752788	415670988	W150_D1_R1.fastq	demux
2752788	415670988	W150_D1_R2.fastq	demux
627678	94779378	W150_D1_Virome_R1.fastq	demux
627678	94779378	W150_D1_Virome_R2.fastq	demux
19268	2909468	W150_D5_Hoffman_R1.fastq	demux
19268	2909468	W150_D5_Hoffman_R2.fastq	demux
1650249	249187599	W150_D5_R1.fastq	demux
1650249	249187599	W150_D5_R2.fastq	demux
309133	46679083	W150_D5_Virome_R1.fastq	demux
309133	46679083	W150_D5_Virome_R2.fastq	demux
1662501	251037651	W15_D1_R1.fastq	demux
1662501	251037651	W15_D1_R2.fastq	demux
1415185	213692935	W15_D5_R1.fastq	demux
1415185	213692935	W15_D5_R2.fastq	demux
1799414	271711514	W16_D1_R1.fastq	demux
1799414	271711514	W16_D1_R2.fastq	demux
1634147	246756197	W16_D5_R1.fastq	demux
1634147	246756197	W16_D5_R2.fastq	demux
1695782	256063082	W17_D1_R1.fastq	demux
1695782	256063082	W17_D1_R2.fastq	demux
1461150	220633650	W17_D5_R1.fastq	demux
1461150	220633650	W17_D5_R2.fastq	demux
1001133	151171083	W18_D1_R1.fastq	demux
1001133	151171083	W18_D1_R2.fastq	demux
1459225	220342975	W18_D5_R1.fastq	demux
1459225	220342975	W18_D5_R2.fastq	demux
1482125	223800875	W19_D1_R1.fastq	demux
1482125	223800875	W19_D1_R2.fastq	demux
755549	114087899	W1_D1_R1.fastq	demux
755549	114087899	W1_D1_R2.fastq	demux
1448592	218737392	W20_D1_R1.fastq	demux
1448592	218737392	W20_D1_R2.fastq	demux
1446737	218457287	W21_D1_R1.fastq	demux
1446737	218457287	W21_D1_R2.fastq	demux
1765638	266611338	W22_D1_R1.fastq	demux
1765638	266611338	W22_D1_R2.fastq	demux
1908125	288126875	W23_D1_R1.fastq	demux
1908125	288126875	W23_D1_R2.fastq	demux
2886217	435818767	W24_D1_R1.fastq	demux
2886217	435818767	W24_D1_R2.fastq	demux
1841014	277993114	W25_D1_R1.fastq	demux
1841014	277993114	W25_D1_R2.fastq	demux
1568592	236857392	W25_D5_R1.fastq	demux
1568592	236857392	W25_D5_R2.fastq	demux
2178341	328929491	W26_D1_R1.fastq	demux
2178341	328929491	W26_D1_R2.fastq	demux
1655181	249932331	W26_D5_R1.fastq	demux
1655181	249932331	W26_D5_R2.fastq	demux
3035472	458356272	W27_D1_R1.fastq	demux
3035472	458356272	W27_D1_R2.fastq	demux
1329682	200781982	W27_D5_R1.fastq	demux
1329682	200781982	W27_D5_R2.fastq	demux
2083038	314538738	W28_D1_R1.fastq	demux
2083038	314538738	W28_D1_R2.fastq	demux
1564845	236291595	W28_D5_R1.fastq	demux
1564845	236291595	W28_D5_R2.fastq	demux
2302287	347645337	W29_D1_R1.fastq	demux
2302287	347645337	W29_D1_R2.fastq	demux
1380166	208405066	W29_D5_R1.fastq	demux
1380166	208405066	W29_D5_R2.fastq	demux
35443	5351893	W2_D1_R1.fastq	demux
35443	5351893	W2_D1_R2.fastq	demux
1617722	244276022	W30_D1_R1.fastq	demux
1617722	244276022	W30_D1_R2.fastq	demux
1824052	275431852	W30_D5_R1.fastq	demux
1824052	275431852	W30_D5_R2.fastq	demux
3200067	483210117	W31_D1_R1.fastq	demux
3200067	483210117	W31_D1_R2.fastq	demux
2034472	307205272	W31_D5_R1.fastq	demux
2034472	307205272	W31_D5_R2.fastq	demux
3043514	459570614	W32_D1_R1.fastq	demux
3043514	459570614	W32_D1_R2.fastq	demux
2164044	326770644	W32_D5_R1.fastq	demux
2164044	326770644	W32_D5_R2.fastq	demux
2828971	427174621	W33_D1_R1.fastq	demux
2828971	427174621	W33_D1_R2.fastq	demux
1621188	244799388	W33_D5_R1.fastq	demux
1621188	244799388	W33_D5_R2.fastq	demux
2004181	302631331	W34_D1_R1.fastq	demux
2004181	302631331	W34_D1_R2.fastq	demux
1908642	288204942	W34_D5_R1.fastq	demux
1908642	288204942	W34_D5_R2.fastq	demux
3237038	488792738	W35_D1_R1.fastq	demux
3237038	488792738	W35_D1_R2.fastq	demux
2176900	328711900	W35_D5_R1.fastq	demux
2176900	328711900	W35_D5_R2.fastq	demux
3238009	488939359	W36_D1_R1.fastq	demux
3238009	488939359	W36_D1_R2.fastq	demux
2037313	307634263	W36_D5_R1.fastq	demux
2037313	307634263	W36_D5_R2.fastq	demux
4321975	652618225	W37_D1_R1.fastq	demux
4321975	652618225	W37_D1_R2.fastq	demux
1911889	288695239	W37_D5_R1.fastq	demux
1911889	288695239	W37_D5_R2.fastq	demux
3481225	525664975	W38_D1_R1.fastq	demux
3481225	525664975	W38_D1_R2.fastq	demux
1958227	295692277	W38_D5_R1.fastq	demux
1958227	295692277	W38_D5_R2.fastq	demux
3563558	538097258	W39_D1_R1.fastq	demux
3563558	538097258	W39_D1_R2.fastq	demux
2033057	306991607	W39_D5_R1.fastq	demux
2033057	306991607	W39_D5_R2.fastq	demux
278372	42034172	W3_D1_R1.fastq	demux
278372	42034172	W3_D1_R2.fastq	demux
2899505	437825255	W40_D1_R1.fastq	demux
2899505	437825255	W40_D1_R2.fastq	demux
1785756	269649156	W40_D5_R1.fastq	demux
1785756	269649156	W40_D5_R2.fastq	demux
4497820	679170820	W41_D1_R1.fastq	demux
4497820	679170820	W41_D1_R2.fastq	demux
970151	146492801	W41_D5_R1.fastq	demux
970151	146492801	W41_D5_R2.fastq	demux
66032	9970832	W42_D1_R1.fastq	demux
66032	9970832	W42_D1_R2.fastq	demux
1633773	246699723	W42_D5_R1.fastq	demux
